tag,rsi_per,ob,os_,macro_ema,exp_m,payout,be,is_trades,is_wr,is_wlow,is_profit,is_dd,oos_trades,oos_wr,oos_wlow,oos_profit,oos_dd,veredito
RSI21 25/75 EMA50 exp60m,21,75,25,50,60,0.87,0.5348,6,0.3333,0.0968,-38.58,0.055,3,0.3333,0.0615,-31.69,0.0317,FAIL
RSI10 20/80 EMA50 exp15m,10,80,20,50,15,0.87,0.5348,36,0.5,0.3447,-40.35,0.1054,15,0.6,0.3575,-15.75,0.0522,FAIL
RSI21 25/75 EMA50 exp60m,21,75,25,50,60,0.9,0.5263,6,0.3333,0.0968,-41.1,0.0581,3,0.3333,0.0615,-27.71,0.0277,FAIL
RSI14 25/75 EMA50 exp30m,14,75,25,50,30,0.87,0.5348,51,0.4118,0.2875,-42.83,0.0463,16,0.5,0.28,-64.72,0.0665,FAIL
RSI14 20/80 EMA50 exp15m,14,80,20,50,15,0.9,0.5263,4,0.25,0.0456,-43.56,0.0436,3,1.0,0.4385,54.98,0.0,FAIL
RSI14 20/80 EMA50 exp30m,14,80,20,50,30,0.9,0.5263,4,0.25,0.0456,-43.56,0.0436,3,0.6667,0.2077,15.59,0.02,FAIL
RSI14 20/80 EMA50 exp60m,14,80,20,50,60,0.9,0.5263,4,0.25,0.0456,-43.56,0.0436,3,0.0,0.0,-34.48,0.0345,FAIL
RSI21 30/70 EMA50 exp30m,21,70,30,50,30,0.87,0.5348,55,0.3818,0.2652,-46.83,0.0493,19,0.4737,0.2733,-49.79,0.0524,FAIL
RSI10 20/80 noMacro exp60m,10,80,20,None,60,0.87,0.5348,188,0.5426,0.4712,-50.3,0.2074,85,0.5176,0.413,-105.36,0.1306,FAIL
RSI14 25/75 EMA50 exp30m,14,75,25,50,30,0.9,0.5263,51,0.4118,0.2875,-50.61,0.0542,16,0.5,0.28,-68.95,0.0721,FAIL
RSI10 20/80 EMA50 exp15m,10,80,20,50,15,0.9,0.5263,36,0.5,0.3447,-52.43,0.1177,15,0.6,0.3575,6.35,0.0396,FAIL
RSI21 30/70 EMA50 exp30m,21,70,30,50,30,0.9,0.5263,55,0.3818,0.2652,-54.61,0.0572,19,0.4737,0.2733,-61.55,0.0642,FAIL
RSI14 35/65 EMA50 exp60m,14,65,35,50,60,0.87,0.5348,409,0.5403,0.4919,-55.64,0.2785,178,0.5,0.4273,-125.34,0.1655,FAIL
RSI10 20/80 EMA50 exp30m,10,80,20,50,30,0.87,0.5348,36,0.4444,0.2954,-69.84,0.0714,15,0.6,0.3575,-0.29,0.0566,FAIL
RSI7 35/65 EMA50 exp30m,7,65,35,50,30,0.87,0.5348,985,0.5431,0.5119,-72.83,0.2795,390,0.5077,0.4582,-87.82,0.2095,FAIL
RSI21 30/70 EMA50 exp15m,21,70,30,50,15,0.87,0.5348,55,0.4909,0.3638,-73.05,0.1204,19,0.4737,0.2733,-42.31,0.0449,FAIL
RSI10 20/80 EMA50 exp30m,10,80,20,50,30,0.9,0.5263,36,0.4444,0.2954,-74.75,0.0764,15,0.6,0.3575,19.39,0.0588,FAIL
RSI14 25/75 EMA50 exp60m,14,75,25,50,60,0.9,0.5263,51,0.451,0.3227,-75.56,0.0844,16,0.4375,0.231,-45.85,0.0477,FAIL
RSI21 30/70 noMacro exp15m,21,70,30,None,15,0.9,0.5263,371,0.5148,0.4641,-77.13,0.2086,153,0.5163,0.4377,-211.53,0.2255,FAIL
RSI10 20/80 EMA50 exp60m,10,80,20,50,60,0.9,0.5263,36,0.3889,0.2478,-79.8,0.1058,15,0.4667,0.2481,-38.11,0.0408,FAIL
RSI14 20/80 noMacro exp30m,14,80,20,None,30,0.87,0.5348,75,0.4667,0.3582,-80.34,0.083,34,0.5,0.3407,-52.5,0.0862,FAIL
RSI10 20/80 EMA50 exp60m,10,80,20,50,60,0.87,0.5348,36,0.3889,0.2478,-81.75,0.1029,15,0.4667,0.2481,-29.85,0.0325,FAIL
RSI21 25/75 noMacro exp15m,21,75,25,None,15,0.9,0.5263,99,0.4646,0.3696,-88.12,0.0942,45,0.5333,0.3908,-19.19,0.1005,FAIL
RSI21 30/70 EMA50 exp15m,21,70,30,50,15,0.9,0.5263,55,0.4909,0.3638,-88.43,0.1372,19,0.4737,0.2733,-46.53,0.0492,FAIL
RSI10 25/75 EMA50 exp30m,10,75,25,50,30,0.87,0.5348,111,0.5135,0.4216,-88.52,0.1242,52,0.5577,0.4234,-16.02,0.0445,FAIL
RSI21 30/70 EMA50 exp60m,21,70,30,50,60,0.9,0.5263,55,0.4,0.2812,-89.35,0.0929,19,0.5263,0.3171,-52.07,0.0781,FAIL
RSI10 25/75 EMA50 exp15m,10,75,25,50,15,0.87,0.5348,111,0.5315,0.4392,-91.3,0.0983,52,0.5577,0.4234,-40.33,0.0682,FAIL
